id,start,end,label,category,region,certainty,uncertainty,source,link
russian-default-1998,1998-08-17,,Russian sovereign default,economy,EUROPE,exact,,IMF records,
euro-introduced,1999-01-01,,The euro is introduced,economy,EUROPE,exact,,European Central Bank,
dot-com-crash,2000-03,2002-10,Dot-com crash,economy,GLOBAL,year,,Exchange records,
china-joins-wto,2001-12-11,,China joins the WTO,economy,ASIA_EAST,exact,,WTO records,
global-financial-crisis,2007-08,2009-06,Global financial crisis,economy,GLOBAL,year,,IMF and BIS records,
lehman-collapse,2008-09-15,,Lehman Brothers files for bankruptcy,economy,AMERICAS,exact,,Court records,
eurozone-debt-crisis,2010,2015,Eurozone sovereign debt crisis,economy,EUROPE,year,,ECB and IMF records,
quantitative-easing-era,2009,2022,Era of quantitative easing,economy,GLOBAL,year,,Central bank balance sheets,
covid-recession,2020-02,2020-11,COVID-19 recession,economy,GLOBAL,year,,National accounts,
post-pandemic-inflation,2021,2023,Post-pandemic inflation surge,economy,GLOBAL,year,,National statistics offices,
incense-route,800 BC,300,Arabian incense route,economy,MIDDLE_EAST,approx,100,Classical geographies; archaeology,
amber-road,500 BC,1000,Amber Road links the Baltic to the Mediterranean,economy,EUROPE,approx,100,Archaeological record,
roman-indian-ocean-trade,30 BC,250,Monsoon-driven Roman sea trade with India,economy,ASIA_SOUTH,approx,30,Periplus of the Erythraean Sea; Berenike finds,
grand-canal-china,605,609,Grand Canal links the Yellow and Yangtze rivers,economy,ASIA_EAST,year,,Sui dynastic records,
trans-saharan-caravans,700,1600,Trans-Saharan gold and salt caravans,economy,AFRICA,approx,50,Arabic geographies; archaeology,
indian-ocean-dhow-trade,800,1500,Indian Ocean dhow trade and the Swahili coast,economy,AFRICA,approx,50,Arabic sources; archaeology,
song-maritime-trade,960,1279,Song maritime trade and the porcelain route,economy,ASIA_EAST,year,,Song dynastic records,
venetian-maritime-empire,1204,1797,Venetian maritime trading empire,economy,EUROPE,year,,Venetian state archives,
hanseatic-league,1356,1669,Hanseatic League,economy,EUROPE,year,,Hanseatic diet records,
ottoman-eastern-routes,1453,1550,Ottoman control of the eastern Mediterranean routes,economy,MIDDLE_EAST,approx,15,Ottoman and Venetian records,
silk-road-decline,1400,1500,Overland Silk Road gives way to sea routes,economy,ASIA_EAST,approx,30,Travellers' accounts; customs records,
atlantic-triangular-trade,1526,1867,Atlantic triangular trade,economy,GLOBAL,year,,Trans-Atlantic Slave Trade Database,
english-east-india-company,1600,1874,English East India Company,economy,ASIA_SOUTH,year,,Company archives,
suez-canal-opens,1869-11-17,,Suez Canal opens,economy,MIDDLE_EAST,exact,,Canal company records,
transcontinental-railroad,1869-05-10,,First US transcontinental railroad completed,economy,AMERICAS,exact,,Railroad company records,
trans-siberian-railway,1891,1916,Trans-Siberian Railway,economy,EUROPE,year,,Russian state records,
panama-canal-opens,1914-08-15,,Panama Canal opens,economy,AMERICAS,exact,,Canal Zone records,
suez-canal-closed,1967-06,1975-06,Suez Canal closed after the Six-Day War,economy,MIDDLE_EAST,year,,Canal authority records,
containerisation,1956,1980,Containerisation remakes world shipping,economy,GLOBAL,year,,Port and shipping statistics,
belt-and-road-initiative,2013,,Belt and Road Initiative launched,economy,ASIA_EAST,year,,Chinese state records,
salt-and-iron-debate,81 BC,,Salt and Iron Debate at the Han court,economy,ASIA_EAST,year,,Discourses on Salt and Iron,https://en.wikipedia.org/wiki/Discourses_on_Salt_and_Iron
hopewell-exchange,100 BC,500,Hopewell exchange network,economy,AMERICAS,approx,100,Archaeological record,https://en.wikipedia.org/wiki/Hopewell_tradition
middle-east-oil,1908,1938,Oil struck in Persia and Saudi Arabia,economy,MIDDLE_EAST,year,,Company and concession records,https://en.wikipedia.org/wiki/Petroleum_industry_in_Iran
opec-founded,1960-09-14,,OPEC founded in Baghdad,economy,MIDDLE_EAST,exact,,OPEC records,https://en.wikipedia.org/wiki/OPEC
sakoku,1639,1853,Sakoku — Japan closes to foreign trade,economy,ASIA_EAST,year,,Tokugawa edicts,https://en.wikipedia.org/wiki/Sakoku
drake-oil-well,1859-08-27,,Drake strikes oil at Titusville — the petroleum age begins,economy,AMERICAS,exact,,Company records,https://en.wikipedia.org/wiki/Drake_Well
phoenician-maritime-trade,1100 BC,332 BC,Phoenician maritime trade across the Mediterranean,economy,MIDDLE_EAST,approx,100,Archaeological record; Greek and Near Eastern sources,
carthaginian-trade-network,814 BC,146 BC,Carthaginian trade network in the western Mediterranean,economy,AFRICA,approx,50,Archaeological record; Greek and Roman historians,
chavin-exchange-network,900 BC,200 BC,Chavin exchange network moves obsidian and Spondylus shell,economy,AMERICAS,approx,100,Archaeological record,
punch-marked-karshapana,600 BC,200 BC,Punch-marked silver karshapana coinage in the Ganges valley,economy,ASIA_SOUTH,approx,50,Numismatic hoards,
zhou-cast-bronze-money,600 BC,221 BC,Cast bronze spade and knife money in the Zhou states,economy,ASIA_EAST,approx,50,Numismatic hoards; excavated coin moulds,
daric-gold-coinage,515 BC,330 BC,Darius issues the gold daric and silver siglos,economy,MIDDLE_EAST,approx,15,Numismatic evidence; Achaemenid inscriptions,
persian-royal-road,500 BC,330 BC,Achaemenid Royal Road links Sardis to Susa,economy,MIDDLE_EAST,approx,25,Herodotus; Persepolis administrative tablets,
ptolemaic-grain-monopoly,305 BC,30 BC,Ptolemaic royal grain monopoly and banking system,economy,AFRICA,year,,Ptolemaic papyri,
qin-currency-standardisation,221 BC,,Qin standardises weights measures and the ban liang coin,economy,ASIA_EAST,year,,Qin administrative records; Shiji,
